,RegionName,State,Latitude,Longitude
54,Wichita,KS,37.68717609999999,-97.33005299999999
55,Tampa,FL,27.950575,-82.4571776
56,Aurora,CO,39.7294319,-104.8319195
57,Riverside,CA,33.9806005,-117.3754942
58,Bakersfield,CA,35.3732921,-119.0187125
59,Cincinnati,OH,39.1031182,-84.5120196
60,Pittsburgh,PA,40.44062479999999,-79.9958864
61,Anaheim,CA,33.8365932,-117.9143012
62,Santa Ana,CA,33.7454725,-117.867653
63,Columbia,SC,34.0007104,-81.0348144
64,Marietta,GA,33.95260200000001,-84.5499327
65,Vancouver,WA,45.6257379,-122.6760886
66,Corpus Christi,TX,27.8005828,-97.39638099999999
67,Saint Louis,MO,38.6270025,-90.19940419999999
68,Greensboro,NC,36.0726354,-79.7919754
69,Lexington,KY,38.0405837,-84.5037164
70,Fort Wayne,IN,41.079273,-85.1393513
71,Silver Spring,MD,38.99066570000001,-77.026088
72,Toledo,OH,41.6528052,-83.5378674
73,Anchorage,AK,61.2180556,-149.9002778
74,Saint Paul,MN,44.9537029,-93.0899578
75,Naples,FL,26.1420358,-81.7948103
76,Durham,NC,35.9940329,-78.898619
77,Tallahassee,FL,30.4382559,-84.28073289999999
78,Stockton,CA,37.9577016,-121.2907796
79,Plano,TX,33.0198431,-96.6988856
80,Newark,NJ,40.735657,-74.1723667
81,Henderson,NV,36.0395247,-114.9817213
82,Lincoln,NE,40.813616,-96.7025955
83,Modesto,CA,37.63909719999999,-120.9968782
84,Reno,NV,39.5296329,-119.8138027
85,Spokane,WA,47.6587802,-117.4260465
86,Chandler,AZ,33.3061605,-111.8412502
87,Lubbock,TX,33.5778631,-101.8551665
88,Jersey City,NJ,40.7177545,-74.0431435
89,Buffalo,NY,42.88644679999999,-78.8783689
90,Mobile,AL,30.6953657,-88.0398912
91,Hialeah,FL,25.8575963,-80.2781057
92,San Bernardino,CA,34.1083449,-117.2897652
93,Chula Vista,CA,32.6400541,-117.0841955
94,Saint Petersburg,FL,27.7676008,-82.64029149999999
95,Pensacola,FL,30.42130899999999,-87.2169149
96,Lawrenceville,GA,33.9562149,-83.9879625
97,Madison,WI,43.0730517,-89.4012302
98,Winston-Salem,NC,36.09985959999999,-80.244216
99,Norfolk,VA,36.8507689,-76.28587259999999
100,Glendale,AZ,33.5386523,-112.1859866
101,Scottsdale,AZ,33.4941704,-111.9260519
102,Fayetteville,NC,35.0526641,-78.87835849999999
103,Boise,ID,43.6150186,-116.2023137
104,Irvine,CA,33.6845673,-117.8265049
105,Laredo,TX,27.5035613,-99.5075519
106,Sarasota,FL,27.3364347,-82.53065269999999
107,Chesapeake,VA,36.7682088,-76.2874927
108,Fort Myers,FL,26.640628,-81.8723084
109,Garland,TX,32.912624,-96.63888329999999
110,Spring,TX,30.0799405,-95.41716009999999
111,Gilbert,AZ,33.3528264,-111.789027
112,North Las Vegas,NV,36.1988592,-115.1175013
113,Fremont,CA,37.5485396,-121.988583
114,Santa Clarita,CA,34.3916641,-118.542586
115,Fontana,CA,34.0922335,-117.435048
116,Irving,TX,32.8140177,-96.9488945
117,Arlington,VA,38.8799697,-77.1067698
118,Springfield,MO,37.2089572,-93.29229889999999
119,Birmingham,AL,33.5185892,-86.8103567
120,Greenville,SC,34.85261759999999,-82.3940104
121,Santa Rosa,CA,38.440429,-122.7140548
122,Oxnard,CA,34.1975048,-119.1770516
123,Richmond,VA,37.5407246,-77.4360481
124,Des Moines,IA,41.5868353,-93.6249593
125,Ocala,FL,29.1871986,-82.14009229999999
126,Boca Raton,FL,26.3683064,-80.1289321
127,Shreveport,LA,32.5251516,-93.7501789
128,Woodbridge,VA,38.6581722,-77.2497049
129,Rochester,NY,43.15657789999999,-77.6088465
130,Montgomery,AL,32.3792233,-86.3077368
131,Bradenton,FL,27.4989278,-82.5748194
132,Corona,CA,33.8752935,-117.5664384
133,Oceanside,CA,33.1958696,-117.3794834
134,Tacoma,WA,47.2528768,-122.4442906
135,Grand Rapids,MI,42.9633599,-85.6680863
136,Gainesville,FL,29.6516344,-82.32482619999999
137,Yonkers,NY,40.9312099,-73.89874689999999
138,Glendale,CA,34.1425078,-118.255075
139,Augusta,GA,33.4734978,-82.0105148
140,Moreno Valley,CA,33.9424658,-117.2296717
141,Akron,OH,41.0814447,-81.51900529999999
142,Aurora,IL,41.7605849,-88.32007150000001
143,Wilmington,NC,34.2103894,-77.8868117
144,Huntington Beach,CA,33.6594835,-117.9988026
145,Huntsville,AL,34.7303688,-86.5861037
146,Amarillo,TX,35.2219971,-101.8312969
147,Eugene,OR,44.0520691,-123.0867536
148,Salt Lake City,UT,40.7607793,-111.8910474
149,Port Saint Lucie,FL,27.2730492,-80.3582261
150,Salinas,CA,36.6777372,-121.6555013
151,Little Rock,AR,34.7464809,-92.28959479999999
152,Fort Collins,CO,40.5852602,-105.084423
153,Hayward,CA,37.6687665,-122.0809964
154,Brownsville,TX,25.9017472,-97.4974838
155,Rockford,IL,42.2711311,-89.0939952
156,Evansville,IN,37.9715592,-87.5710898
157,Worcester,MA,42.2625932,-71.8022934
158,Overland Park,KS,38.9822282,-94.6707917
159,Lancaster,CA,34.6867846,-118.1541632
160,Salem,OR,44.9428975,-123.0350963
161,Garden Grove,CA,33.7742692,-117.9379952
162,Grand Prairie,TX,32.7459645,-96.99778459999999
163,Beaverton,OR,45.4888761,-122.8013771
164,Escondido,CA,33.1192068,-117.086421
165,Providence,RI,41.8239891,-71.4128343
166,Fort Lauderdale,FL,26.1224386,-80.13731740000001
167,Ontario,CA,34.0633443,-117.6508876
168,Columbus,GA,32.4609764,-84.9877094
169,Sioux Falls,SD,43.5473028,-96.728333
170,Charleston,SC,32.7764749,-79.93105120000001
171,Kissimmee,FL,28.2919557,-81.40757099999999
172,Chattanooga,TN,35.0456297,-85.3096801
173,Tempe,AZ,33.4255104,-111.9400054
174,Murfreesboro,TN,35.8456213,-86.39027
175,Rancho Cucamonga,CA,34.10639889999999,-117.5931084
176,Cape Coral,FL,26.5628537,-81.9495331
177,Bayamon,LA,18.389396,-66.1653224
178,Savannah,GA,32.0808989,-81.091203
179,Fredericksburg,VA,38.3031837,-77.4605399
180,Killeen,TX,31.1171194,-97.72779589999999
181,Palmdale,CA,34.5794343,-118.1164613
182,Roanoke,VA,37.2709704,-79.9414266
183,Newport News,VA,37.0870821,-76.4730122
184,El Cajon,CA,32.7947731,-116.9625269
185,Clarksville,TN,36.5297706,-87.3594528
186,Jackson,MS,32.2987573,-90.1848103
187,Elk Grove,CA,38.4087993,-121.3716178
188,Peoria,AZ,33.5805955,-112.2373779
189,Sugar Land,TX,29.5984434,-95.6225521
190,Naperville,IL,41.7508391,-88.1535352
191,Fairfax,VA,38.84622359999999,-77.30637329999999
192,Boynton Beach,FL,26.5317866,-80.0905465
193,Topeka,KS,39.0473451,-95.67515759999999
194,McKinney,TX,33.1983388,-96.6389342
195,Pembroke Pines,FL,26.007765,-80.2962555
196,Edmond,OK,35.6528323,-97.47809540000002
197,Lakeland,FL,28.0394654,-81.9498042
198,Pueblo,CO,38.2544472,-104.6091409
199,Springfield,MA,42.1014831,-72.589811
200,Carolina,PA,35.8799991,-78.8475887
201,Odessa,TX,31.8456816,-102.3676431
202,Henrico,VA,37.5059332,-77.3324425
203,Dayton,OH,39.7589478,-84.1916069
204,Midland,TX,31.9973456,-102.0779146
205,Lakewood,CO,39.7047095,-105.0813734
206,Cumming,GA,34.2073196,-84.14019259999999
207,Alexandria,VA,38.8048355,-77.0469214
208,Tyler,TX,32.3512601,-95.30106239999999
209,Pomona,CA,34.055103,-117.7499909
210,Visalia,CA,36.3302284,-119.2920585
211,Cypress,TX,29.9716905,-95.6937856
212,Round Rock,TX,30.5082551,-97.678896
213,Ann Arbor,MI,42.2808256,-83.7430378
214,Whittier,CA,33.9791793,-118.032844
215,Kansas City,KS,39.11553139999999,-94.62678729999999
216,Sunnyvale,CA,37.36883,-122.0363496
217,Hollywood,FL,26.0112014,-80.1494901
218,Las Cruces,NM,32.3199396,-106.7636538
219,Edinburg,TX,26.3017374,-98.1633432
220,Conroe,TX,30.3118769,-95.45605119999999
221,Lansing,MI,42.732535,-84.5555347
222,South Bend,IN,41.6763545,-86.25198979999999
223,Cary,NC,35.79154,-78.7811169
224,Paterson,NJ,40.9167654,-74.17181099999999
225,Pasadena,TX,29.6910625,-95.2091006
226,Beaumont,TX,30.080174,-94.1265562
227,Yuma,AZ,32.6926512,-114.6276916
228,Frisco,TX,33.1506744,-96.82361159999999
229,Columbia,MO,38.9517053,-92.3340724
230,Syracuse,NY,43.0481221,-76.14742439999999
231,Pasadena,CA,34.1477849,-118.1445155
232,Bridgeport,CT,41.1792258,-73.1894384
233,Macon,GA,32.8406946,-83.6324022
234,Canton,OH,40.79894729999999,-81.378447
235,Newark,DE,39.6837226,-75.74965720000002
236,Mesquite,TX,32.76679550000001,-96.5991593
237,Renton,WA,47.4796927,-122.2079218
238,Santa Maria,CA,34.9530337,-120.4357191
239,Ponce,CO,39.7435013,-105.0248523
240,Torrance,CA,33.8358492,-118.3406288
241,Clearwater,FL,27.9658533,-82.8001026
242,Fullerton,CA,33.8703645,-117.9242123
243,McAllen,TX,26.2034071,-98.23001239999999
244,Orange,CA,33.7879139,-117.8531007
245,Compton,CA,33.8958492,-118.2200712
246,Hampton,VA,37.0298687,-76.34522179999999
247,Bellevue,WA,47.6101497,-122.2015159
248,Inglewood,CA,33.9616801,-118.3531311
249,Kent,WA,47.3809335,-122.2348432
250,West Valley City,UT,40.6916132,-112.0010501
251,Olathe,KS,38.8813958,-94.81912849999999
252,Warren,MI,42.5144566,-83.01465259999999
253,Miramar,FL,25.9860762,-80.30356019999999
254,Thornton,CO,39.8680412,-104.9719243
255,Abilene,TX,32.4487364,-99.73314390000002
256,Billings,MT,45.7832856,-108.5006904
257,Concord,CA,37.9779776,-122.0310733
258,Cedar Rapids,IA,41.9778795,-91.6656232
259,Bloomington,IN,39.165325,-86.52638569999999
260,Boulder,CO,40.0149856,-105.2705456
261,Sterling Heights,MI,42.5803122,-83.0302033
262,Saginaw,MI,43.4194699,-83.9508068
263,Ramapo,NY,41.1412064,-74.16847870000001
264,Carrollton,TX,32.9756415,-96.8899636
265,Coral Springs,FL,26.271192,-80.2706044
266,Thousand Oaks,CA,34.1705609,-118.8375937
267,Victorville,CA,34.5362184,-117.2927641
268,Roseville,CA,38.7521235,-121.2880059
269,Surprise,AZ,33.6292337,-112.3679279
270,New Haven,CT,41.308274,-72.9278835
271,Hamilton,OH,39.3995008,-84.5613355
272,Waco,TX,31.549333,-97.1466695
273,Simi Valley,CA,34.2694474,-118.781482
274,Stamford,CT,41.0534302,-73.5387341
275,Pearland,TX,29.5635666,-95.2860474
276,Elizabeth,NJ,40.6639916,-74.2107006
277,Denton,TX,33.2148412,-97.13306829999999
278,Santa Fe,NM,35.6869752,-105.937799
279,Gainesville,GA,34.2978794,-83.8240663
280,Allentown,PA,40.6022939,-75.4714098
281,Flint,MI,43.0125274,-83.6874562
282,Frederick,MD,39.41426879999999,-77.4105409
283,Hartford,CT,41.7658043,-72.6733723
284,Murrieta,CA,33.5539143,-117.2139232
285,Temecula,CA,33.4936391,-117.1483648
286,Hemet,CA,33.7475203,-116.9719684
287,East Los Angeles,CA,34.0224417,-118.1669736
288,Vallejo,CA,38.1040864,-122.2566367
289,Santa Clara,CA,37.3541079,-121.9552356
290,Concord,NC,35.4087517,-80.579511
291,Amherst,NY,42.97900670000001,-78.792272
292,Athens,GA,33.9519347,-83.357567
293,Falls Church,VA,38.88233400000001,-77.1710914
294,Norman,OK,35.2225668,-97.4394777
295,Wilmington,DE,39.744655,-75.5483909
296,Nampa,ID,43.5788175,-116.55978
297,Berkeley,CA,37.8715226,-122.273042
298,Westminster,CO,39.8366528,-105.0372046
299,Rochester,MN,44.0121221,-92.4801989
300,Clovis,CA,36.8252277,-119.7029194
301,Stone Mountain,GA,33.8081608,-84.17019599999999
302,Summerville,SC,33.0185039,-80.17564809999999
303,Vista,CA,33.2000368,-117.2425355
304,Broken Arrow,OK,36.060949,-95.7974526
305,Richmond,CA,37.9357576,-122.3477486
306,Arvada,CO,39.8027644,-105.0874842
307,Charlottesville,VA,38.0293059,-78.47667810000002
308,Independence,MO,39.0911161,-94.41550679999999
309,Tuscaloosa,AL,33.2098407,-87.56917349999999
310,New Port Richey,FL,28.2441768,-82.7192671
311,Spartanburg,SC,34.9495672,-81.9320482
312,Bellingham,WA,48.7519112,-122.4786854
313,Melbourne,FL,28.0836269,-80.60810889999999
314,Costa Mesa,CA,33.6638439,-117.9047429
315,Sparks,NV,39.5349112,-119.7526886
316,Bend,OR,44.0581728,-121.3153096
317,El Monte,CA,34.0686206,-118.0275667
318,College Station,TX,30.627977,-96.3344068
319,Miami Gardens,FL,25.9420377,-80.2456045
320,Chico,CA,39.7284944,-121.8374777
321,Downey,CA,33.9401088,-118.1331593
322,Tracy,CA,37.7396513,-121.4252227
323,Ventura,CA,34.2804923,-119.2945199
324,North Charleston,SC,32.8771106,-80.0130514
325,Lewisville,TX,33.046233,-96.994174
326,West Covina,CA,34.0686208,-117.9389526
327,Bowling Green,KY,36.9685219,-86.4808043
328,Yakima,WA,46.6020711,-120.5058987
329,Redding,CA,40.5865396,-122.3916754
330,Manchester,NH,42.9956397,-71.4547891
331,Saint Augustine,FL,29.9012437,-81.31243409999999
332,Delray Beach,FL,26.4614625,-80.0728201
333,Lowell,MA,42.6334247,-71.31617179999999
334,Waterbury,CT,41.5581525,-73.0514965
335,West Palm Beach,FL,26.7153424,-80.0533746
336,Carlsbad,CA,33.1580933,-117.3505939
337,Elgin,IL,42.0354084,-88.2825668
338,Santa Barbara,CA,34.4208305,-119.6981901
339,Laurel,MD,39.0992752,-76.8483061
340,Cambridge,MA,42.3736158,-71.10973349999999
341,Fargo,ND,46.8771863,-96.7898034
342,West Jordan,UT,40.6096698,-111.9391031
343,Greenville,NC,35.612661,-77.3663538
344,Manassas,VA,38.7509488,-77.47526669999999
345,Hillsboro,OR,45.526088,-122.9356776
346,Green Bay,WI,44.5133188,-88.0132958
347,Palm Bay,FL,28.0344621,-80.5886646
348,Richardson,TX,32.9483335,-96.7298519
349,West Chester,PA,39.9606643,-75.6054882
350,Norwalk,CA,33.9022367,-118.081733
351,Vero Beach,FL,27.6386434,-80.39727359999999
352,Peoria,IL,40.6936488,-89.5889864
353,Centennial,CO,39.5807452,-104.8771726
354,Douglasville,GA,33.7514966,-84.7477136
355,Antioch,CA,38.0049214,-121.805789
356,Perris,CA,33.7825194,-117.2286478
357,Springfield,VA,38.7892801,-77.18720359999999
358,Fairfield,CA,38.2491956,-122.0405151
359,Davenport,IA,41.5236437,-90.5776367
360,Lehigh Acres,FL,26.6253497,-81.6248026
361,Everett,WA,47.9789848,-122.2020795
362,Wichita Falls,TX,33.9137085,-98.4933873
363,Erie,PA,42.12922409999999,-80.085059
364,Pompano Beach,FL,26.2378597,-80.1247667
365,San Leandro,CA,37.7257663,-122.1568554
366,Riverview,FL,27.8661364,-82.32648089999999
367,Burbank,CA,34.1808392,-118.3089661
368,Vacaville,CA,38.3565773,-121.9877444
369,Madera,CA,36.9613356,-120.0607176
370,Albany,NY,42.6525793,-73.7562317
371,Grand Junction,CO,39.0638705,-108.5506486
372,Hesperia,CA,34.4263886,-117.3008784
373,The Woodlands,TX,30.1658207,-95.46126249999999
374,Longview,TX,32.5007037,-94.74048909999999
375,San Mateo,CA,37.5629917,-122.3255254
376,Edison,NJ,40.5187154,-74.4120953
377,Franklin,TN,35.9250637,-86.8688899
378,Sandy Springs,GA,33.9304352,-84.3733147
379,Merced,CA,37.3021632,-120.4829677
380,Jacksonville,NC,34.7540524,-77.4302414
381,Santa Cruz,CA,36.9741171,-122.0307963
382,Lexington,SC,33.9815369,-81.2362107
383,Chapel Hill,NC,35.9131996,-79.0558445
384,Kennesaw,GA,34.0234337,-84.6154897
385,Elkhart,IN,41.6819935,-85.9766671
386,Daly City,CA,37.6879241,-122.4702079
387,Rialto,CA,34.1064001,-117.3703235
388,Davie,FL,26.0764783,-80.25211569999999
389,Columbia,MD,39.2037144,-76.86104619999999
390,Meridian,ID,43.6121087,-116.3915131
391,Lawrence,KS,38.9716689,-95.2352501
392,Napa,CA,38.2975381,-122.286865
393,Highlands Ranch,CO,39.5480789,-104.9739333
394,Lynchburg,VA,37.4137536,-79.14224639999999
395,Greeley,CO,40.4233142,-104.7091322
396,League City,TX,29.5074538,-95.0949303
397,Lakewood,NJ,40.08212899999999,-74.2097014
398,Mission Viejo,CA,33.5968913,-117.6581562
399,High Point,NC,35.9556923,-80.0053176
400,Lithonia,GA,33.7123305,-84.1051939
401,Anderson,SC,34.5034394,-82.6501332
402,Livermore,CA,37.6818688,-121.7684732
403,Spring Hill,FL,28.4831682,-82.5369872
404,Sandy,UT,40.5649781,-111.8389726
405,Federal Way,WA,47.3223221,-122.3126222
406,Rio Rancho,NM,35.2327544,-106.6630437
407,South Gate,CA,33.954737,-118.2120161
408,Bryan,TX,30.6743643,-96.3699632
409,Champaign,IL,40.1164204,-88.2433829
410,Albany,GA,31.5785074,-84.15574099999999
411,Portsmouth,VA,36.8354258,-76.2982742
412,Greece,NY,43.2097837,-77.6930602
413,Dearborn,MI,42.3222599,-83.17631449999999
414,Hawthorne,CA,33.9164032,-118.3525748
415,Johnson City,TN,36.3134397,-82.3534727
416,Idaho Falls,ID,43.49266069999999,-112.0407584
417,Woodstock,GA,34.1014873,-84.5193754
418,Livonia,MI,42.36837,-83.35270969999999
419,Brockton,MA,42.0834335,-71.0183787
420,Asheville,NC,35.5950581,-82.5514869
421,Midlothian,VA,37.5061069,-77.6490005
422,Indio,CA,33.7205771,-116.2155619
423,Annapolis,MD,38.9784453,-76.4921829
424,New Braunfels,TX,29.7030024,-98.1244531
425,McDonough,GA,33.4473361,-84.1468616
426,Terre Haute,IN,39.4667034,-87.41390919999999
427,Ashburn,VA,39.0437567,-77.4874416
428,Sterling,VA,39.0066993,-77.4291298
429,Auburn,WA,47.30732279999999,-122.2284532
430,Muncie,IN,40.1933767,-85.3863599
431,Valdosta,GA,30.8327022,-83.2784851
432,Apopka,FL,28.6934076,-81.5322149
433,Kennewick,WA,46.2086683,-119.119948
434,Medford,OR,42.3265152,-122.8755949
435,Allen,TX,33.1031744,-96.67055030000002
436,Kalamazoo,MI,42.2917069,-85.5872286
437,Santa Monica,CA,34.0194543,-118.4911912
438,Plantation,FL,26.1275862,-80.23310359999999
439,Plainfield,IL,41.632223,-88.2120315
440,New Bedford,MA,41.6362152,-70.93420499999999
441,Westminster,CA,33.7591757,-117.9897058
442,Reading,PA,40.3356483,-75.9268747
443,Loveland,CO,40.3977612,-105.0749801
444,Cheyenne,WY,41.1399814,-104.8202462
445,Fort Smith,AR,35.3859242,-94.39854749999999
446,Lawton,OK,34.6035669,-98.39592909999999
447,Kenosha,WI,42.5847425,-87.82118539999999
448,Roswell,GA,34.0232431,-84.3615555
449,Monroe,LA,32.5093109,-92.1193012
450,Missoula,MT,46.8721284,-113.9940314
451,Miami Beach,FL,25.790654,-80.1300455
452,Duluth,MN,46.78667189999999,-92.1004852
453,Sunrise,FL,26.1669711,-80.25659499999999
454,Lynn,MA,42.46676300000001,-70.9494938
455,Holland,MI,42.7875235,-86.1089301
456,Cleveland,TN,35.1595182,-84.8766115
457,Williamsburg,VA,37.2707022,-76.7074571
458,Lees Summit,MO,38.9108408,-94.3821724
459,Appleton,WI,44.2619309,-88.41538469999999
460,Newnan,GA,33.3806716,-84.79965729999999
461,Menifee,CA,33.6971468,-117.185294
462,San Marcos,CA,33.1433723,-117.1661449
463,Acworth,GA,34.0659329,-84.6768796
464,Canton,MI,42.3086444,-83.48211599999999
465,Herndon,VA,38.9695545,-77.3860976
466,Queen Creek,AZ,33.2486083,-111.6345554
467,Covington,GA,33.5967815,-83.8601827
468,Carmel,IN,39.978371,-86.1180435
469,San Angelo,TX,31.4637723,-100.4370375
470,Hamilton,NJ,40.2115109,-74.6796651
471,Tonawanda,NY,43.0203347,-78.880315
472,Bothell,WA,47.76011099999999,-122.2054452
473,Newton,MA,42.3370413,-71.20922139999999
474,Warner Robins,GA,32.6130007,-83.624201
475,Flagstaff,AZ,35.1982836,-111.651302
476,Chino,CA,34.0122346,-117.688944
477,Fort Pierce,FL,27.4467056,-80.3256056
478,Redwood City,CA,37.48521520000001,-122.2363548
479,Lafayette,IN,40.4167022,-86.87528689999999
480,Leesburg,VA,39.1156615,-77.56360149999999
481,Gulfport,MS,30.3674198,-89.0928155
482,Pittsburg,CA,38.0279762,-121.8846806
483,Georgetown,TX,30.6332618,-97.6779842
484,Fall River,MA,41.7014912,-71.1550451
485,Duluth,GA,34.0028786,-84.1446376
486,Decatur,IL,39.8403147,-88.9548001
487,Parker,CO,39.5186002,-104.7613633
488,Newport Beach,CA,33.6188829,-117.9298493
489,Arden-Arcade,CA,38.6008071,-121.3770336
490,Nashua,NH,42.7653662,-71.46756599999999
491,Suffolk,VA,36.7282054,-76.5835621
492,Victoria,TX,28.8052674,-97.0035982
493,Redmond,WA,47.6739881,-122.121512
494,Tustin,CA,33.7420005,-117.8236391
495,Citrus Heights,CA,38.7071247,-121.2810611
496,Glen Burnie,MD,39.1626084,-76.6246886
497,Waukegan,IL,42.3636331,-87.84479379999999
498,Pflugerville,TX,30.4548451,-97.6222665
499,Bowie,MD,39.0067768,-76.77913649999999
500,Walnut Creek,CA,37.9100783,-122.0651819
501,Macomb,MI,42.6651965,-82.92864279999999
502,Fayetteville,AR,36.082156,-94.17185420000001
503,Bloomington,MN,44.840798,-93.2982799
504,Sioux City,IA,42.4963416,-96.40494079999999
505,Dallas,GA,33.9244531,-84.8413056
506,Buena Park,CA,33.8674044,-117.9981387
507,Longmont,CO,40.1672068,-105.1019275
508,Iowa City,IA,41.6611277,-91.5301683
509,Bismarck,ND,46.8083268,-100.7837392
510,Alhambra,CA,34.095287,-118.1270146
511,Trenton,NJ,40.2205824,-74.759717
512,Conyers,GA,33.6676103,-84.01769039999999
513,Clifton,NJ,40.8584328,-74.16375529999999
514,Germantown,MD,39.1731621,-77.2716502
515,Jackson,TN,35.6145169,-88.81394689999999
516,Toms River,NJ,39.9537358,-74.1979458
517,Lynnwood,WA,47.8209301,-122.3151314
518,Cicero,IL,41.8455877,-87.7539448
519,Ellicott City,MD,39.2673283,-76.7983067
520,Sumter,SC,33.9204354,-80.3414693
521,Owensboro,KY,37.7719074,-87.1111676
522,Conway,AR,35.0886963,-92.4421011
523,Hattiesburg,MS,31.3271189,-89.29033919999999
524,Spokane Valley,WA,47.6732281,-117.2393748
525,Danbury,CT,41.394817,-73.4540111
526,Norwalk,CT,41.11774399999999,-73.4081575
527,Watsonville,CA,36.910231,-121.7568946
528,Springfield,OH,39.9242266,-83.8088171
529,Largo,FL,27.9094665,-82.7873244
530,Gresham,OR,45.5098502,-122.4347608
531,Brandon,FL,27.937801,-82.2859247
532,Troy,MI,42.6064095,-83.1497751
533,Panama City,FL,30.1588129,-85.6602058
534,Kingsport,TN,36.548434,-82.5618186
535,Sanford,FL,28.8028612,-81.269453
536,Palm Coast,FL,29.5844524,-81.20786989999999
537,Quincy,MA,42.2528772,-71.0022705
538,Westland,MI,42.32420399999999,-83.400211
539,Saint George,UT,37.0965278,-113.5684164
540,Ogden,UT,41.223,-111.9738304
541,Johns Creek,GA,34.0289259,-84.198579
542,Canton,GA,34.2367621,-84.4907621
543,Kirkland,WA,47.6768927,-122.2059833
544,Waldorf,MD,38.6265124,-76.9105483
545,Stafford,VA,38.4220687,-77.4083086
546,Manteca,CA,37.7974273,-121.2160526
547,Camarillo,CA,34.2163937,-119.0376023
548,Farmington Hills,MI,42.4989936,-83.3677168
549,Dalton,GA,34.7698021,-84.9702228
550,Cranston,RI,41.7798226,-71.4372796
551,Jonesboro,AR,35.84229670000001,-90.704279
552,Slidell,LA,30.2751945,-89.78117449999999
553,Greenwood,IN,39.6136578,-86.10665259999999
554,Eau Claire,WI,44.811349,-91.4984941
555,Apple Valley,CA,34.5008311,-117.1858759
556,Town 'n' Country,FL,28.0105745,-82.57731930000001
557,Oviedo,FL,28.669997,-81.20812029999999
558,Fishers,IN,39.9567548,-86.01335
559,Smyrna,GA,33.8839926,-84.51437609999999
560,Arlington Heights,IL,42.0883603,-87.98062650000001
561,Mayaguez,MS,18.2013463,-67.1451517
562,Lakewood,CA,33.8536269,-118.1339563
563,Mount Pleasant,SC,32.8323225,-79.82842579999999
564,Parma,OH,41.4047742,-81.7229086
565,Gary,IN,41.6020403,-87.3371523
566,Covina,CA,34.0900091,-117.8903397
567,Greer,SC,34.9387279,-82.2270568
568,Saint Joseph,MO,39.7674578,-94.84668099999999
569,Upland,CA,34.09751,-117.6483876
570,Deltona,FL,28.9005446,-81.26367379999999
571,Lexington,NC,35.8240265,-80.2533838
572,Carson,CA,33.8316745,-118.281693
573,Simpsonville,SC,34.7370639,-82.25428339999999
574,Hoover,AL,33.4053867,-86.8113781
575,Schaumburg,IL,42.0333607,-88.0834059
576,Valparaiso,IN,41.4730948,-87.0611412
577,Lancaster,PA,40.0378755,-76.3055144
578,Porterville,CA,36.06523,-119.0167679
